email,name,company,city,industry,status
22b963a6a1028c157d2d9ddc13353dfb,Nina Goff,Auctor Company,,Gaming,5 - Converted to opportunity
23f37e67129aea5a9bbb0edbd558547d,Hedda Brooks,Cursus Purus PC,,VR,4 - Nurturing
ed91bf6ae09b30fba18f6686102b6c3c,Darryl Carney,,,Entertainment,4 - Nurturing
551b2a6df982cc008bdfd5e05e63123b,Phoebe Carr,Interdum Sed Auctor Corp.,,Gaming,5 - Converted to opportunity
3a956202a79dd063cbc5ca4815d44086,Bradley Salazar,Mauris Company,,Gaming,5 - Converted to opportunity
ff88f470d13dd8522409a28bea15813b,Zephania Norman,Consectetuer Mauris Id Incorporated,,Gaming,2 - Contact attempted
b4ad0b85c533c45ca4992f3098aa18f0,Knox Pace,Nulla At Consulting,Lawton,Gaming,4 - Nurturing
26582682411430bbd19223517c0e179a,Simon Fleming,,Kieldrecht,Gaming,4 - Nurturing
b624da3e6acc50e8c3fa19aa721b361b,Arthur Delgado,Vestibulum Ut Incorporated,,Transportation,3 - Contact Made
8036e35d60aa800d364543cc6f4fdc3b,Simone Gregory,Consectetuer Rhoncus LLC,Sambreville,IT Firm,2 - Contact attempted
ae3185b243a1be84ec65c7f6221d1079,Aladdin Vincent,,,Entertainment,2 - Contact attempted
ab47e72721180c89c502ee48411185ac,Fuller Dudley,Auctor Company,,Gaming,5 - Converted to opportunity
dabc5728c8bf72141244e3fde8115eee,Hu Dawson,Amet Ornare PC,,Telecoms,3 - Contact Made
69ea3d8aab7586fd331bba740db65493,Rowan Nielsen,Mauris Company,,Gaming,5 - Converted to opportunity
c508514124e8c9d2dc08cfded438bd91,India Riddle,,,VR,4 - Nurturing
3e8a47fe751a5ff4d4e7f0fd2d2d3eea,Elvis Beck,Auctor Company,,Gaming,4 - Nurturing
edbae8eae90ac4f9a2fe646093d595b4,Kathleen Vinson,,,VR,3 - Contact Made
945ab1358c5e0ca9b6fa252372055200,Tanya Rasmussen,A Malesuada Inc.,,Gaming,2 - Contact attempted
1379a11a87b19648f026c6cc9ebcca55,Berk Marshall,,Chatillon,VR,2 - Contact attempted
c1089ed4318254d0e7013214977b2753,Mary Avila,Gravida Praesent PC,,Gaming,2 - Contact attempted
3d4c1942517f103e9ea23431c8b66d2f,Griffith Sargent,Mauris Company,,Gaming,5 - Converted to opportunity
e7f89a8b5075734f5887a9798f01c8f9,Kieran Hunt,,,IT Firm,3 - Contact Made
20662ffd731cb43e806c8cbe0096b28c,Tad Castro,,,IT Firm,3 - Contact Made
d8588b6b81cde34e282d281f0f9067c6,Brady Garcia,Hendrerit LLP,,Telecoms,2 - Contact attempted
3018980952ef3c22fb54c7754ed260a2,Adam Pugh,,CuracavÌ_,Entertainment,4 - Nurturing
7dc0ae8712f9064ac677a2d143a2ab2e,Ima Leach,Amet Luctus Vulputate Ltd,,Corporate,2 - Contact attempted
70117cc605153e1ff489e8a0918fa326,Jacob Barnett,Mi Lacinia Mattis Associates,,Gaming,2 - Contact attempted
b7eda1ac5e9ec951d71c3804afe12569,Simone Williamson,Aenean LLC,,Gaming,5 - Converted to opportunity
047fb13bcfabe158f4d3e355036fc25b,Kendall Barton,Luctus Lobortis Consulting,Maria,Gaming,2 - Contact attempted
eebd08721e249ca3aabe48dcfba75458,Macaulay Durham,Auctor Company,,Gaming,4 - Nurturing
5e7688063a0f9cc75d61fa8ae1eee9de,Berk Baxter,Cras Sed Leo Associates,,Infrastructure,3 - Contact Made
c9dd29d79486ce92444abb71f10a0ed8,Stacey Walton,Quis Lectus LLC,Sint-Pieters-Kapelle,Finance,4 - Nurturing
088f1b8822d82c867456b433de1685d4,Chantale Hewitt,Lacus Varius Company,Boston,Gaming,2 - Contact attempted
e89e33ce4bc02fee9de4a67f814c8bb8,Nadine Mcintosh,Donec Egestas Aliquam Corporation,Pogliano Milanese,IT Firm,4 - Nurturing
0919f924bcdbe8908eea48d2ee5bf174,Elmo Powell,Aliquam Fringilla Cursus Company,,Infrastructure,2 - Contact attempted
b5de90c72eab280e481ce6519eccfb92,Ariel Nichols,,,Gaming,3 - Contact Made
ed7a35d57effdd078380494b9a5c67ae,Christopher Lancaster,Dui Nec Associates,,IT Firm,4 - Nurturing
9a9472471d74de8353e18a887f84278a,Eagan Glenn,Curabitur Incorporated,,Gaming,4 - Nurturing
bafd251a1214918fef213415b1096202,Calvin Bartlett,Et Industries,Sens,Gaming,2 - Contact attempted
b3a81b95d491238512feb8232e2942a1,Caesar Williamson,Leo Institute,,Infrastructure,4 - Nurturing
cfd61bc79414ebdc252c04b09f1c6b7e,Chelsea Dennis,Pharetra Consulting,Lautaro,Gaming,5 - Converted to opportunity
b0f11b69267606cc6845b587ade467fa,Hamish Rice,A Associates,,Infrastructure,2 - Contact attempted
8b23e92058366459182b7a817a9cf894,Cassidy Delacruz,Metus Eu PC,,Gaming,3 - Contact Made
3fa36d816fb4edf7c55f2f3ee790f6ca,Maxine Sykes,,,IT Firm,3 - Contact Made
ba25076e54d81382481fe2dba432250f,Lionel Mccarthy,Nulla Aliquet Inc.,,Gaming,3 - Contact Made
9c92267842484ac9e909f30bb7879711,Mariam Gardner,Ac Ltd,Wijnegem,Infrastructure,3 - Contact Made
e52a670d3e343a0b7b2e9d167e854b21,Evan Dotson,,,Gaming,3 - Contact Made
f0c8316beb61414c6b48211c53360864,Ella Rich,Mauris Foundation,,Gaming,3 - Contact Made
b3e186cbaf131fa109aa54a08b6d9456,Maxine Welch,Proin Vel LLC,,Transportation,3 - Contact Made
d9840b8e37ba6cc03862192f96fa1c7c,Vivien Watson,Id Limited,,VR,3 - Contact Made
22295ec2fade6b4ffadfd35688f7be49,Maite Blevins,,,Gaming,3 - Contact Made
9b06662e588e6d47c6cc6c7c530411df,Laurel Harris,,Waiblingen,Real Estate,3 - Contact Made
c4d82a44fb05c823797cb7de383b6a14,Benedict Reese,Enim Diam Corporation,,VR,3 - Contact Made
552f098b2a95197ecc635dc862c43eeb,Glenna Atkins,,,Telecoms,3 - Contact Made
121d1fd92aae4b45da2abc7529e5da12,Craig Cain,,,Gaming,2 - Contact attempted
782462007695f87fcd2aab36c471aabb,Chadwick Rosario,,,Finance,3 - Contact Made
029a51038df68baf230eb0dd55c9929f,Wayne Matthews,Cursus In LLP,,Infrastructure,3 - Contact Made
5b30f9293e35a7a9828f3d6df79e6d72,Paloma Richards,Sed Institute,,Gaming,3 - Contact Made
0f1ca1253a1af4338a08a71c3b19b88c,Adele Roberts,,,Infrastructure,3 - Contact Made
e707a1a3aea83bf97158a619114d36eb,Wayne Mccray,Arcu Associates,,Gaming,5 - Converted to opportunity
0e20a400d18d7f18d45ba1359401bedb,Maggie Mcintyre,,,Gaming,3 - Contact Made
ccbbec860141299ec60ad3bb87db3b06,Cameran Barron,,,Simulation,2 - Contact attempted
7e71e6cea8385da623c55c5b96c62490,Tanisha Hampton,Rhoncus Donec Est Foundation,,VR,3 - Contact Made
902ce30c81956aa1f7636bb02f7c6731,Xyla Jenkins,,,Finance,3 - Contact Made
61d44e7c87bca2361f419eaa56de4b63,Nola Swanson,Ligula Incorporated,,Gaming,3 - Contact Made
2450c5bc95dff7ec0e23352a03c20a49,Brianna Buck,,,Gaming,3 - Contact Made
e54895c71a2bcbbe5a9afec6b40fba1f,Hollee Ellison,,,Other,4 - Nurturing
39aba30995e68409c7ce7e8cfd920fc9,Callum Shannon,Aliquet Ltd,,Transportation,4 - Nurturing
df1a6253d833323d44c781031ab965ad,Kellie Reynolds,,,Transportation,4 - Nurturing
9efc9fd8c893e44ef9720416a109635f,Brenden Kane,Mauris Rhoncus Industries,,Gaming,3 - Contact Made
498073aacae616f3434482238b86ec65,Melissa Howard,,,Gaming,3 - Contact Made
1267316cf2eb43ea7df62dff9d23bd16,Cecilia Pollard,,,Infrastructure,3 - Contact Made
